row,StateName,DistrictName,BlockName,PanchayatName,VillageName,HabitationName,Location,TypeOfSource,Lab,LabTestingDate,SampleName,AbovePMandatory,BelowPMandatory,AbovePEmerging,BelowPEmerging,Testid
11,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,MUTHU KRISHNA PURAM,"In Habitation/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1989) -MUTHU KRISHNA PURAM,/SC4101139",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1752,,"Nitrate[7.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[93.000 mg/l],pH[6.600 pH],TDS[441.000 mg/l],Alkalinity[164.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[28.000 mg/l],Manganese[0.000 mg/l],Hardness[248.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685131
12,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,MUTHU NARANAPURAM,"/ Scheme Name: WSSMUTHUNARAYANAPURAM-ANGANWADIESa,/SC4643137",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1753,,"Nitrate[5.000 mg/l],Fluoride[0.100 mg/l],Iron[0.130 mg/l],Chloride[36.000 mg/l],pH[6.600 pH],TDS[224.000 mg/l],Alkalinity[99.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[20.000 mg/l],Manganese[0.000 mg/l],Hardness[108.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685168
13,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,MUTHUKRISHNAPURAM COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1994) -MUTHUKRISHNAPURAM COLONY,/SC501694",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1754,,"Nitrate[3.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[87.000 mg/l],pH[6.600 pH],TDS[497.000 mg/l],Alkalinity[203.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[25.000 mg/l],Manganese[0.000 mg/l],Hardness[176.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685205
14,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,PANNAN KATTU COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -PANNAN KATTU COLONY,/SC511484",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1755,,"Nitrate[6.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[153.000 mg/l],pH[6.600 pH],TDS[798.000 mg/l],Alkalinity[233.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[75.000 mg/l],Manganese[0.000 mg/l],Hardness[184.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685235
15,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,THIDEER KUPPAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -THIDEER KUPPAM,/SC500897",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1756,,"Nitrate[2.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[99.000 mg/l],pH[6.900 pH],TDS[704.000 mg/l],Alkalinity[350.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[18.000 mg/l],Manganese[0.000 mg/l],Hardness[276.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685260
16,TAMIL NADU,Cuddalore,ANNAGRAMAM,KALLIPATTU,KALLIPATTU,ERIPALAYAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1974) -ERIPALAYAM,/SC507685",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,28/02/2020,2578,,"Nitrate[2.000 mg/l],Fluoride[0.200 mg/l],Iron[0.130 mg/l],Chloride[14.000 mg/l],pH[6.700 pH],TDS[203.000 mg/l],Alkalinity[86.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[27.000 mg/l],Manganese[0.000 mg/l],Hardness[84.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031682303
17,TAMIL NADU,Cuddalore,ANNAGRAMAM,KALLIPATTU,KALLIPATTU,KALLIPATTU,"In Habitation/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1993) -KALLIPATTU,/SC507778",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,28/02/2020,2579,,"Nitrate[3.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[10.000 mg/l],pH[7.800 pH],TDS[147.000 mg/l],Alkalinity[65.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[24.000 mg/l],Manganese[0.000 mg/l],Hardness[56.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031682349
18,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANDRA KOTTAI,KANDARAKKATTAI,ERIPALAYAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1974) -ERIPALAYAM,/SC516464",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,24/02/2020,2543,,"Nitrate[2.000 mg/l],Fluoride[0.300 mg/l],Iron[0.000 mg/l],Chloride[233.000 mg/l],pH[7.000 pH],TDS[980.000 mg/l],Alkalinity[246.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[54.000 mg/l],Manganese[0.000 mg/l],Hardness[520.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031660845
19,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANDRA KOTTAI,KANDARAKKATTAI,KALLIPATTU,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1993) -KALLIPATTU,/SC507033",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,24/02/2020,2544,,"Nitrate[0.000 mg/l],Fluoride[0.300 mg/l],Iron[0.000 mg/l],Chloride[170.000 mg/l],pH[7.500 pH],TDS[994.000 mg/l],Alkalinity[233.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[190.000 mg/l],Manganese[0.000 mg/l],Hardness[440.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031660910
20,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANDRA KOTTAI,KANDARAKKATTAI,KANDRA KOTTAI,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1974) -KANDRA KOTTAI,/SC506052",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,24/02/2020,2545,,"Nitrate[0.000 mg/l],Fluoride[0.300 mg/l],Iron[0.270 mg/l],Chloride[121.000 mg/l],pH[7.400 pH],TDS[973.000 mg/l],Alkalinity[233.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[211.000 mg/l],Manganese[0.000 mg/l],Hardness[420.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661043
